customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days
637,52,Female,Dress,Clothing,95,Florida,L,Blue,Spring,3.0,Yes,Standard,Yes,34,Debit Card,Monthly,Middle Aged,30
2984,26,Female,Shoes,Footwear,63,Louisiana,XL,Green,Winter,5.0,No,Free Shipping,Yes,9,Debit Card,Weekly,Young Adult,7
1059,47,Male,Coat,Outerwear,92,Arkansas,L,Brown,Fall,5.0,No,Free Shipping,No,50,Credit Card,Monthly,Middle Aged,30
955,31,Male,Sunglasses,Accessories,72,Vermont,S,Olive,Winter,5.0,No,Free Shipping,Yes,46,PayPal,Annually,Adult,365
3569,68,Female,Sandals,Footwear,25,Utah,XL,Lavender,Winter,5.0,No,Express,Yes,8,Credit Card,Weekly,Senior,7
1142,65,Male,Dress,Clothing,40,Ohio,S,Brown,Winter,5.0,No,Express,Yes,7,Debit Card,Monthly,Senior,30
924,44,Male,Sunglasses,Accessories,86,South Dakota,S,Purple,Winter,5.0,No,Standard,Yes,2,Debit Card,Bi-Weekly,Adult,14
3425,67,Female,Blouse,Clothing,69,Ohio,M,Yellow,Winter,4.0,No,2-Day Shipping,Yes,31,Credit Card,Monthly,Senior,30
2481,70,Male,Jacket,Outerwear,78,Washington,XL,Silver,Summer,5.0,No,Free Shipping,Yes,2,Debit Card,Monthly,Senior,30
3487,29,Male,Shoes,Footwear,82,Connecticut,XL,Teal,Summer,4.0,No,Express,Yes,26,Credit Card,Weekly,Young Adult,7
1615,46,Male,Sneakers,Footwear,30,Nevada,S,Charcoal,Winter,5.0,Yes,2-Day Shipping,Yes,35,Credit Card,Weekly,Middle Aged,7
3809,18,Male,Socks,Clothing,59,Arkansas,S,Beige,Spring,5.0,No,2-Day Shipping,Yes,7,PayPal,Monthly,Young Adult,30
1884,41,Female,Boots,Footwear,27,Nebraska,M,Peach,Spring,5.0,No,Express,Yes,15,PayPal,Monthly,Adult,30
2486,26,Male,Shorts,Clothing,61,Michigan,M,Green,Spring,3.0,No,Store Pickup,Yes,14,PayPal,Annually,Young Adult,365
3243,24,Male,Skirt,Clothing,29,South Dakota,L,Olive,Summer,5.0,No,Express,Yes,30,PayPal,Monthly,Young Adult,30
1347,19,Male,Hoodie,Clothing,36,Colorado,S,Gold,Spring,2.0,No,Express,Yes,3,Debit Card,Weekly,Young Adult,7
1479,29,Male,Sneakers,Footwear,31,North Dakota,XL,Purple,Summer,5.0,No,Store Pickup,Yes,15,Debit Card,Monthly,Young Adult,30
3155,68,Male,Sneakers,Footwear,49,Delaware,L,White,Summer,5.0,Yes,Free Shipping,Yes,17,Apple Pay,Monthly,Senior,30
895,30,Female,Shoes,Footwear,78,Tennessee,M,Turquoise,Spring,5.0,No,2-Day Shipping,Yes,13,Credit Card,Monthly,Adult,30
1437,20,Male,Backpack,Accessories,73,Nebraska,L,Yellow,Fall,4.0,No,Standard,Yes,49,Credit Card,Monthly,Young Adult,30
1856,34,Female,Shoes,Footwear,100,Virginia,XL,Black,Fall,5.0,Yes,Free Shipping,Yes,6,Debit Card,Bi-Weekly,Adult,14
3071,53,Female,Scarf,Accessories,91,Georgia,XL,Pink,Spring,5.0,Yes,Free Shipping,Yes,4,PayPal,Annually,Middle Aged,365
3554,55,Male,Shirt,Clothing,38,Illinois,XL,Red,Winter,4.0,No,2-Day Shipping,Yes,32,Credit Card,Bi-Weekly,Middle Aged,14
1508,62,Male,Dress,Clothing,28,Virginia,XL,Magenta,Summer,5.0,No,Free Shipping,Yes,27,Credit Card,Monthly,Senior,30
85,48,Male,Pants,Clothing,33,South Carolina,S,Violet,Winter,4.0,Yes,Express,No,33,Credit Card,Monthly,Middle Aged,30
442,35,Male,Socks,Clothing,55,North Carolina,L,Red,Summer,4.0,Yes,Store Pickup,No,16,Debit Card,Weekly,Adult,7
2399,37,Female,Coat,Outerwear,77,New York,L,Teal,Fall,4.0,Yes,Free Shipping,Yes,27,Credit Card,Weekly,Adult,7
67,69,Male,Shirt,Clothing,65,Hawaii,XL,Green,Summer,3.0,No,2-Day Shipping,Yes,41,Debit Card,Weekly,Senior,7
2414,63,Male,Scarf,Accessories,79,Michigan,M,Maroon,Summer,5.0,No,Free Shipping,Yes,34,Credit Card,Bi-Weekly,Senior,14
674,36,Female,Jeans,Clothing,38,Kansas,S,Teal,Winter,5.0,No,Next Day Air,Yes,22,Credit Card,Monthly,Adult,30
639,36,Female,Jewelry,Accessories,76,Delaware,L,Charcoal,Winter,4.0,No,Free Shipping,Yes,40,PayPal,Monthly,Adult,30
1968,67,Male,Shorts,Clothing,49,Colorado,L,Violet,Winter,5.0,No,Standard,Yes,21,Debit Card,Monthly,Senior,30
57,56,Female,Sunglasses,Accessories,83,Oregon,XL,Purple,Winter,3.0,No,Standard,Yes,32,Debit Card,Bi-Weekly,Middle Aged,14
2752,44,Male,Jacket,Outerwear,85,Virginia,XL,Peach,Summer,1.0,No,Free Shipping,No,9,Credit Card,Monthly,Adult,30
572,19,Male,Sweater,Clothing,69,North Carolina,L,Beige,Winter,4.0,No,Express,Yes,37,Credit Card,Monthly,Young Adult,30
2712,19,Male,Sneakers,Footwear,79,Georgia,L,Peach,Summer,5.0,No,Express,No,45,PayPal,Weekly,Young Adult,7
1125,66,Female,Sneakers,Footwear,68,South Dakota,L,Turquoise,Summer,5.0,No,Free Shipping,Yes,6,PayPal,Annually,Senior,365
38,39,Male,Boots,Footwear,79,Colorado,S,Magenta,Winter,5.0,Yes,Free Shipping,Yes,44,Apple Pay,Monthly,Adult,30
923,55,Female,Hoodie,Clothing,91,Vermont,S,Blue,Summer,5.0,No,2-Day Shipping,Yes,24,PayPal,Monthly,Middle Aged,30
2443,26,Female,Sweater,Clothing,49,New Hampshire,XL,Brown,Spring,5.0,No,Free Shipping,Yes,37,Debit Card,Annually,Young Adult,365
1697,25,Female,Dress,Clothing,43,Michigan,S,Peach,Fall,5.0,No,Free Shipping,Yes,4,Credit Card,Annually,Young Adult,365
1205,27,Male,Shorts,Clothing,38,California,M,Purple,Fall,5.0,No,Free Shipping,No,23,Debit Card,Monthly,Young Adult,30
1604,48,Female,Shoes,Footwear,85,Georgia,M,Yellow,Fall,3.0,No,Free Shipping,Yes,33,Debit Card,Monthly,Middle Aged,30
1543,26,Male,Sunglasses,Accessories,47,South Dakota,M,Olive,Spring,5.0,No,2-Day Shipping,Yes,39,PayPal,Monthly,Young Adult,30
3324,22,Male,Socks,Clothing,52,Illinois,L,Beige,Winter,5.0,No,Express,No,41,Credit Card,Monthly,Young Adult,30
2343,59,Female,Jeans,Clothing,85,Arkansas,L,Beige,Fall,5.0,Yes,Express,Yes,33,Credit Card,Monthly,Middle Aged,30
1709,34,Female,Belt,Accessories,84,South Dakota,XL,Gold,Summer,3.0,No,Express,No,27,Debit Card,Weekly,Adult,7
3577,54,Male,Shoes,Footwear,49,Kentucky,S,Olive,Winter,3.0,Yes,Free Shipping,Yes,43,Credit Card,Weekly,Middle Aged,7
3808,69,Female,Socks,Clothing,29,Louisiana,XL,Pink,Spring,5.0,No,2-Day Shipping,Yes,42,Credit Card,Monthly,Senior,30
537,67,Female,Belt,Accessories,30,Colorado,XL,Green,Spring,5.0,No,Express,Yes,34,Credit Card,Weekly,Senior,7
3762,55,Female,Scarf,Accessories,86,Mississippi,L,Green,Winter,1.0,No,2-Day Shipping,Yes,8,Credit Card,Monthly,Middle Aged,30
348,29,Female,Sweater,Clothing,39,Georgia,L,Brown,Summer,4.0,Yes,Free Shipping,Yes,3,Debit Card,Monthly,Young Adult,30
2165,51,Female,Dress,Clothing,54,Idaho,XL,Beige,Summer,5.0,No,Express,Yes,27,Credit Card,Monthly,Middle Aged,30
788,51,Male,Hoodie,Clothing,97,Michigan,M,Olive,Winter,5.0,Yes,Standard,No,47,Credit Card,Monthly,Middle Aged,30
2041,47,Female,Belt,Accessories,96,South Carolina,L,Blue,Summer,5.0,Yes,2-Day Shipping,Yes,35,Credit Card,Monthly,Middle Aged,30
3080,60,Female,Coat,Outerwear,56,Utah,XL,Charcoal,Fall,4.0,No,Free Shipping,Yes,42,Credit Card,Weekly,Senior,7
3516,26,Male,Sweater,Clothing,94,Michigan,M,Magenta,Winter,5.0,No,Express,Yes,7,Apple Pay,Monthly,Young Adult,30
3202,21,Male,Shoes,Footwear,72,Louisiana,M,Yellow,Summer,3.0,No,2-Day Shipping,Yes,43,Credit Card,Annually,Young Adult,365
1210,70,Female,Gloves,Accessories,34,Illinois,XL,Yellow,Winter,4.0,No,Express,Yes,48,Apple Pay,Monthly,Senior,30
2266,60,Female,Jacket,Outerwear,89,Indiana,M,Peach,Fall,5.0,No,Free Shipping,No,30,Debit Card,Monthly,Senior,30
374,64,Male,Gloves,Accessories,86,New Hampshire,XL,Orange,Spring,5.0,Yes,Standard,No,20,Credit Card,Monthly,Senior,30
2971,26,Female,Sunglasses,Accessories,60,North Carolina,M,White,Spring,4.0,No,Express,Yes,25,Gift Card,Monthly,Young Adult,30
2238,35,Male,Boots,Footwear,65,Arkansas,L,Gray,Spring,4.0,No,Free Shipping,Yes,26,Debit Card,Monthly,Adult,30
3870,33,Female,Hat,Accessories,51,Idaho,S,Beige,Winter,5.0,No,Free Shipping,Yes,4,Credit Card,Monthly,Adult,30
825,54,Female,Pants,Clothing,100,Nebraska,XL,Teal,Summer,3.0,Yes,Express,Yes,29,Debit Card,Annually,Middle Aged,365
1069,44,Male,Dress,Clothing,75,Maine,L,Violet,Summer,5.0,No,Store Pickup,No,21,Credit Card,Bi-Weekly,Adult,14
3487,30,Female,Pants,Clothing,96,Delaware,M,Gray,Winter,4.0,No,Standard,Yes,39,Apple Pay,Monthly,Adult,30
3753,23,Female,Jewelry,Accessories,58,Ohio,L,Blue,Fall,5.0,Yes,2-Day Shipping,Yes,26,Credit Card,Annually,Young Adult,365
2858,47,Male,Jeans,Clothing,35,Georgia,L,Charcoal,Fall,5.0,Yes,Free Shipping,Yes,17,Credit Card,Weekly,Middle Aged,7
2591,60,Male,Shorts,Clothing,28,South Carolina,M,Indigo,Spring,3.0,No,Express,Yes,47,Credit Card,Monthly,Senior,30
1085,26,Male,Shirt,Clothing,96,Mississippi,L,Green,Spring,4.0,Yes,Express,Yes,5,Credit Card,Annually,Young Adult,365
1681,66,Female,Boots,Footwear,69,Alabama,S,Orange,Spring,2.0,Yes,Standard,No,40,Credit Card,Monthly,Senior,30
1777,64,Female,Pants,Clothing,22,Alabama,M,Cyan,Spring,4.0,No,Standard,Yes,26,Credit Card,Bi-Weekly,Senior,14
1878,32,Male,Sneakers,Footwear,60,Louisiana,S,Cyan,Winter,4.0,No,Express,Yes,49,Apple Pay,Annually,Adult,365
3334,55,Male,Hoodie,Clothing,71,New Jersey,L,Brown,Spring,5.0,No,Store Pickup,Yes,45,PayPal,Monthly,Middle Aged,30
691,27,Female,Jeans,Clothing,86,Ohio,M,Green,Winter,3.0,No,Express,No,22,PayPal,Monthly,Young Adult,30
2996,51,Male,Coat,Outerwear,52,Ohio,S,Peach,Winter,5.0,Yes,2-Day Shipping,Yes,36,Debit Card,Bi-Weekly,Middle Aged,14
2546,24,Female,Backpack,Accessories,91,North Dakota,L,Blue,Summer,4.0,No,Express,Yes,33,Debit Card,Monthly,Young Adult,30
294,70,Male,Sneakers,Footwear,87,Montana,L,Lavender,Fall,2.0,Yes,Store Pickup,No,2,Credit Card,Weekly,Senior,7
857,57,Male,Blouse,Clothing,52,Wyoming,S,Brown,Summer,3.0,Yes,Free Shipping,Yes,20,Credit Card,Monthly,Middle Aged,30
2998,31,Male,Hat,Accessories,88,Idaho,XL,Red,Spring,5.0,No,Free Shipping,Yes,45,Credit Card,Monthly,Adult,30
188,22,Male,Shirt,Clothing,21,Louisiana,L,Gold,Winter,5.0,No,Express,Yes,43,Apple Pay,Weekly,Young Adult,7
2715,40,Male,Skirt,Clothing,48,Nebraska,XL,Indigo,Winter,1.0,No,Free Shipping,No,2,Credit Card,Monthly,Adult,30
647,45,Female,Gloves,Accessories,24,Texas,L,Purple,Summer,5.0,No,Standard,Yes,6,Debit Card,Bi-Weekly,Middle Aged,14
813,38,Male,Coat,Outerwear,31,Idaho,M,Silver,Spring,3.0,No,Free Shipping,Yes,13,PayPal,Monthly,Adult,30
3236,59,Female,Coat,Outerwear,80,New Hampshire,XL,Beige,Summer,3.0,No,Free Shipping,No,33,Debit Card,Weekly,Middle Aged,7
3251,61,Female,Socks,Clothing,35,Oregon,M,Pink,Winter,5.0,No,Standard,Yes,11,Debit Card,Monthly,Senior,30
168,68,Female,Coat,Outerwear,37,Delaware,XL,Lavender,Winter,2.0,No,Free Shipping,Yes,12,Credit Card,Monthly,Senior,30
3413,21,Male,Sandals,Footwear,40,Pennsylvania,L,Cyan,Spring,4.0,Yes,Free Shipping,Yes,38,Credit Card,Weekly,Young Adult,7
3098,31,Female,Hat,Accessories,47,Oklahoma,XL,Yellow,Fall,4.0,No,2-Day Shipping,Yes,3,Apple Pay,Annually,Adult,365
1225,19,Male,Backpack,Accessories,80,Maryland,XL,Violet,Winter,5.0,No,Free Shipping,Yes,3,Credit Card,Monthly,Young Adult,30
1369,27,Male,Belt,Accessories,71,Alabama,S,Gold,Winter,5.0,No,2-Day Shipping,Yes,1,Gift Card,Monthly,Young Adult,30
3024,46,Female,Pants,Clothing,57,Wisconsin,L,Indigo,Summer,1.0,No,Free Shipping,No,3,Debit Card,Bi-Weekly,Middle Aged,14
1046,29,Male,Sneakers,Footwear,66,New Mexico,M,Black,Fall,2.0,No,Express,Yes,10,Debit Card,Monthly,Young Adult,30
3127,44,Male,Shorts,Clothing,48,Florida,XL,Maroon,Spring,5.0,Yes,Express,Yes,37,Apple Pay,Monthly,Adult,30
525,21,Male,Jewelry,Accessories,38,North Dakota,M,Beige,Spring,5.0,No,Express,Yes,24,Debit Card,Monthly,Young Adult,30
2771,45,Male,Shoes,Footwear,81,Utah,M,Brown,Summer,5.0,Yes,Standard,Yes,30,Credit Card,Bi-Weekly,Middle Aged,14
1252,24,Female,Dress,Clothing,63,Arizona,XL,Brown,Fall,4.0,Yes,Standard,Yes,11,Debit Card,Annually,Young Adult,365
3856,29,Male,Jeans,Clothing,91,Michigan,L,Silver,Winter,5.0,No,Free Shipping,Yes,6,PayPal,Annually,Young Adult,365
3097,45,Male,Jewelry,Accessories,94,Pennsylvania,XL,Brown,Summer,4.0,No,Free Shipping,Yes,47,Debit Card,Monthly,Middle Aged,30
2697,58,Female,Sandals,Footwear,47,Washington,L,Lavender,Winter,1.0,No,Express,Yes,11,Credit Card,Weekly,Middle Aged,7
1191,56,Female,Dress,Clothing,71,Rhode Island,L,Magenta,Winter,4.0,No,Standard,Yes,39,Credit Card,Bi-Weekly,Middle Aged,14
3607,19,Male,Jeans,Clothing,49,Idaho,S,White,Winter,1.0,No,2-Day Shipping,Yes,20,Credit Card,Weekly,Young Adult,7
1330,58,Female,Sweater,Clothing,60,Rhode Island,XL,Brown,Spring,5.0,Yes,Next Day Air,Yes,1,Debit Card,Monthly,Middle Aged,30
477,38,Female,Coat,Outerwear,35,Maryland,L,Peach,Spring,5.0,Yes,Express,No,44,Credit Card,Bi-Weekly,Adult,14
3294,39,Female,Handbag,Accessories,87,Virginia,M,Cyan,Winter,3.0,No,Standard,Yes,49,Debit Card,Weekly,Adult,7
511,55,Male,Skirt,Clothing,78,Idaho,L,Lavender,Spring,5.0,Yes,2-Day Shipping,Yes,23,Credit Card,Monthly,Middle Aged,30
1475,56,Male,Blouse,Clothing,42,Washington,L,Olive,Fall,5.0,No,Free Shipping,Yes,5,PayPal,Monthly,Middle Aged,30
1586,35,Male,Sandals,Footwear,63,Indiana,XL,Olive,Spring,5.0,Yes,Free Shipping,Yes,34,Credit Card,Annually,Adult,365
1734,26,Male,Scarf,Accessories,43,Hawaii,M,Gray,Fall,5.0,No,Free Shipping,No,36,Credit Card,Weekly,Young Adult,7
1925,43,Female,Sneakers,Footwear,82,Pennsylvania,XL,Green,Spring,5.0,No,Express,Yes,11,Debit Card,Monthly,Adult,30
920,48,Female,T-shirt,Clothing,84,Delaware,XL,Orange,Summer,5.0,No,Free Shipping,Yes,36,PayPal,Bi-Weekly,Middle Aged,14
2659,47,Male,Sunglasses,Accessories,88,Colorado,M,Cyan,Winter,5.0,No,Free Shipping,Yes,29,Gift Card,Monthly,Middle Aged,30
2791,40,Male,Shorts,Clothing,58,Alaska,M,Maroon,Fall,2.0,No,2-Day Shipping,Yes,15,PayPal,Monthly,Adult,30
2276,68,Male,Dress,Clothing,30,Oklahoma,XL,Lavender,Spring,4.0,No,Store Pickup,No,23,Apple Pay,Weekly,Senior,7
158,54,Male,Coat,Outerwear,24,Mississippi,M,Pink,Summer,2.0,Yes,Express,Yes,42,Apple Pay,Weekly,Middle Aged,7
1382,21,Female,Skirt,Clothing,35,Arkansas,M,Green,Summer,4.0,Yes,Free Shipping,Yes,28,Credit Card,Monthly,Young Adult,30
1914,26,Male,Skirt,Clothing,64,Connecticut,S,Lavender,Spring,4.0,No,Free Shipping,No,7,Gift Card,Monthly,Young Adult,30
2803,22,Male,Skirt,Clothing,99,California,XL,White,Fall,5.0,No,Express,Yes,45,PayPal,Annually,Young Adult,365
1217,37,Male,Hat,Accessories,64,Vermont,M,Silver,Summer,3.0,No,2-Day Shipping,Yes,7,Credit Card,Annually,Adult,365
458,55,Female,Scarf,Accessories,59,Kansas,M,Teal,Summer,5.0,No,Free Shipping,Yes,29,PayPal,Weekly,Middle Aged,7
1225,25,Female,Blouse,Clothing,22,Ohio,M,Maroon,Fall,5.0,Yes,Express,Yes,33,Credit Card,Bi-Weekly,Young Adult,14
338,56,Female,Sandals,Footwear,63,Alabama,S,Peach,Summer,5.0,No,Next Day Air,Yes,26,Credit Card,Annually,Middle Aged,365
335,64,Female,Blouse,Clothing,89,New Mexico,M,Green,Summer,3.0,No,2-Day Shipping,Yes,8,Debit Card,Monthly,Senior,30
3437,19,Male,Shirt,Clothing,35,Nebraska,M,Cyan,Spring,4.0,Yes,Store Pickup,No,27,PayPal,Weekly,Young Adult,7
2008,65,Male,Hat,Accessories,38,Arizona,XL,Cyan,Summer,5.0,No,2-Day Shipping,No,14,Credit Card,Bi-Weekly,Senior,14
3253,30,Female,Pants,Clothing,46,New Mexico,L,Black,Summer,4.0,No,Express,No,16,Gift Card,Bi-Weekly,Adult,14
2859,47,Female,Jacket,Outerwear,57,Nebraska,L,Teal,Winter,5.0,No,Standard,Yes,23,Credit Card,Bi-Weekly,Middle Aged,14
1579,37,Female,Skirt,Clothing,69,Indiana,L,Cyan,Spring,5.0,Yes,Free Shipping,Yes,38,Credit Card,Annually,Adult,365
882,23,Female,Shorts,Clothing,34,Florida,L,Pink,Spring,5.0,No,Free Shipping,Yes,30,Credit Card,Weekly,Young Adult,7
451,36,Male,Socks,Clothing,25,Ohio,M,Gold,Summer,5.0,Yes,2-Day Shipping,Yes,49,Debit Card,Weekly,Adult,7
15,47,Female,Shorts,Clothing,88,Alaska,L,Cyan,Summer,2.0,No,Express,Yes,8,PayPal,Annually,Middle Aged,365
1266,37,Female,Jeans,Clothing,69,Montana,S,Cyan,Spring,4.0,Yes,2-Day Shipping,Yes,9,Credit Card,Annually,Adult,365
1069,70,Male,Jacket,Outerwear,30,Georgia,XL,Peach,Winter,5.0,Yes,Express,Yes,28,PayPal,Monthly,Senior,30
2587,39,Male,Boots,Footwear,86,Kentucky,S,Brown,Summer,5.0,Yes,2-Day Shipping,Yes,46,Credit Card,Weekly,Adult,7
3862,69,Male,Blouse,Clothing,54,Maine,M,Red,Winter,3.0,Yes,Free Shipping,Yes,10,Debit Card,Weekly,Senior,7
3213,33,Female,Shirt,Clothing,96,Tennessee,M,Pink,Spring,5.0,No,Express,Yes,41,PayPal,Weekly,Adult,7
3185,54,Male,Jewelry,Accessories,96,Tennessee,XL,Blue,Winter,4.0,No,Standard,Yes,32,Credit Card,Monthly,Middle Aged,30
2683,50,Female,Jewelry,Accessories,79,Connecticut,M,Black,Spring,3.0,Yes,Standard,Yes,4,Debit Card,Weekly,Middle Aged,7
1927,44,Male,Dress,Clothing,49,Wyoming,L,Teal,Fall,5.0,No,Free Shipping,Yes,24,Credit Card,Monthly,Adult,30
1100,59,Male,Sweater,Clothing,95,Florida,S,Gray,Summer,2.0,Yes,Express,Yes,33,Credit Card,Monthly,Middle Aged,30
3438,27,Female,Sandals,Footwear,27,Wisconsin,M,Olive,Winter,4.0,No,2-Day Shipping,No,22,PayPal,Weekly,Young Adult,7
2976,27,Male,Handbag,Accessories,92,Texas,S,Olive,Winter,3.0,Yes,Standard,Yes,42,PayPal,Bi-Weekly,Young Adult,14
2827,64,Female,Hat,Accessories,77,South Carolina,XL,Green,Winter,4.0,Yes,Free Shipping,Yes,16,Debit Card,Bi-Weekly,Senior,14
2200,69,Female,Sneakers,Footwear,54,New York,L,Cyan,Spring,2.0,No,Free Shipping,Yes,45,Credit Card,Weekly,Senior,7
354,45,Male,Sneakers,Footwear,68,Vermont,XL,Violet,Summer,4.0,No,Express,Yes,43,Credit Card,Monthly,Middle Aged,30
3512,25,Male,Shirt,Clothing,30,Washington,L,Red,Fall,5.0,Yes,Free Shipping,Yes,43,Debit Card,Monthly,Young Adult,30
1603,37,Female,Jacket,Outerwear,33,Arizona,XL,Magenta,Summer,4.0,No,Store Pickup,Yes,50,Apple Pay,Monthly,Adult,30
3035,58,Male,Hoodie,Clothing,77,North Carolina,M,Cyan,Summer,3.0,No,Store Pickup,Yes,18,Debit Card,Bi-Weekly,Middle Aged,14
392,35,Male,Jewelry,Accessories,56,Arizona,L,Magenta,Winter,4.0,No,Express,Yes,2,Debit Card,Bi-Weekly,Adult,14
189,70,Male,Shirt,Clothing,76,New York,XL,Indigo,Spring,4.0,No,Free Shipping,Yes,16,Credit Card,Bi-Weekly,Senior,14
402,26,Male,Coat,Outerwear,41,Ohio,M,Red,Summer,1.0,No,Free Shipping,Yes,32,Credit Card,Monthly,Young Adult,30
197,57,Male,Scarf,Accessories,29,North Dakota,S,Lavender,Spring,5.0,Yes,Express,Yes,17,Apple Pay,Weekly,Middle Aged,7
340,47,Female,Sandals,Footwear,68,Texas,L,Gray,Winter,3.0,No,2-Day Shipping,Yes,7,PayPal,Weekly,Middle Aged,7
2214,66,Male,Blouse,Clothing,52,Minnesota,S,Indigo,Spring,5.0,Yes,Free Shipping,No,44,Credit Card,Monthly,Senior,30
3027,54,Female,Pants,Clothing,27,Michigan,XL,Turquoise,Spring,4.0,No,2-Day Shipping,Yes,40,Gift Card,Monthly,Middle Aged,30
1662,47,Female,Gloves,Accessories,24,Washington,M,Olive,Fall,5.0,No,2-Day Shipping,Yes,12,Credit Card,Monthly,Middle Aged,30
1710,68,Female,Sunglasses,Accessories,82,Maryland,S,Peach,Winter,2.0,No,Express,Yes,49,Credit Card,Bi-Weekly,Senior,14
2482,70,Male,Sweater,Clothing,80,Maine,M,Cyan,Summer,5.0,No,Free Shipping,Yes,40,Credit Card,Monthly,Senior,30
2086,44,Female,Sweater,Clothing,39,South Dakota,XL,Orange,Summer,4.0,No,Free Shipping,Yes,27,Apple Pay,Weekly,Adult,7
325,36,Male,Gloves,Accessories,79,Massachusetts,L,Charcoal,Fall,3.0,Yes,Express,Yes,18,Credit Card,Weekly,Adult,7
2549,63,Female,Blouse,Clothing,52,North Dakota,L,Lavender,Winter,5.0,Yes,Next Day Air,No,18,Debit Card,Bi-Weekly,Senior,14
322,31,Male,Sweater,Clothing,57,Mississippi,L,Olive,Summer,4.0,Yes,Free Shipping,Yes,37,Debit Card,Monthly,Adult,30
1531,56,Female,Blouse,Clothing,87,Nebraska,M,Peach,Winter,3.0,No,Express,Yes,15,Credit Card,Monthly,Middle Aged,30
2709,52,Female,Socks,Clothing,58,New Mexico,XL,Orange,Winter,4.0,No,Express,Yes,38,Credit Card,Monthly,Middle Aged,30
1970,23,Female,Sandals,Footwear,77,New Hampshire,M,Blue,Winter,4.0,No,Free Shipping,No,50,Credit Card,Monthly,Young Adult,30
3773,41,Male,T-shirt,Clothing,86,New Jersey,L,Violet,Summer,5.0,No,2-Day Shipping,Yes,32,Apple Pay,Weekly,Adult,7
2119,64,Male,Scarf,Accessories,94,Rhode Island,XL,Gold,Winter,4.0,No,Next Day Air,No,48,PayPal,Monthly,Senior,30
1476,20,Female,Jeans,Clothing,26,Mississippi,XL,Indigo,Winter,4.0,No,2-Day Shipping,Yes,12,PayPal,Weekly,Young Adult,7
1619,24,Male,Sunglasses,Accessories,22,Vermont,M,Peach,Winter,5.0,Yes,Free Shipping,Yes,23,Credit Card,Monthly,Young Adult,30
3216,61,Female,Shorts,Clothing,91,Colorado,L,Orange,Winter,2.0,Yes,Free Shipping,Yes,28,PayPal,Monthly,Senior,30
1998,34,Male,Sunglasses,Accessories,54,Vermont,L,Orange,Winter,5.0,Yes,Free Shipping,Yes,24,PayPal,Monthly,Adult,30
2972,27,Female,Shirt,Clothing,74,New York,S,Gold,Winter,5.0,No,Free Shipping,Yes,48,Apple Pay,Monthly,Young Adult,30
2221,42,Female,Pants,Clothing,44,Louisiana,S,Brown,Summer,5.0,No,Express,Yes,41,Credit Card,Monthly,Adult,30
2051,40,Female,Sneakers,Footwear,72,Alabama,S,Violet,Winter,4.0,Yes,Standard,Yes,30,Credit Card,Bi-Weekly,Adult,14
1549,49,Female,Belt,Accessories,74,New Jersey,M,Maroon,Winter,3.0,No,Free Shipping,Yes,24,Gift Card,Annually,Middle Aged,365
284,39,Male,Sunglasses,Accessories,22,Utah,M,Beige,Summer,5.0,No,Free Shipping,Yes,11,Debit Card,Bi-Weekly,Adult,14
629,23,Female,Dress,Clothing,29,Nevada,S,Black,Fall,2.0,Yes,Express,Yes,23,Credit Card,Monthly,Young Adult,30
43,70,Female,Scarf,Accessories,31,Nebraska,L,Beige,Spring,5.0,Yes,2-Day Shipping,Yes,35,Credit Card,Weekly,Senior,7
2055,66,Male,Scarf,Accessories,70,Washington,L,Purple,Summer,4.0,Yes,Standard,Yes,46,Credit Card,Monthly,Senior,30
1085,69,Female,Sunglasses,Accessories,97,Virginia,S,Maroon,Winter,5.0,No,Free Shipping,Yes,49,Credit Card,Monthly,Senior,30
708,33,Female,Sneakers,Footwear,44,North Carolina,S,Gold,Winter,4.0,Yes,Express,Yes,24,PayPal,Bi-Weekly,Adult,14
2357,63,Female,Scarf,Accessories,78,Arizona,L,Brown,Winter,5.0,No,Express,Yes,19,Credit Card,Monthly,Senior,30
1268,27,Male,Dress,Clothing,33,Illinois,S,Maroon,Fall,4.0,No,Store Pickup,Yes,48,Debit Card,Bi-Weekly,Young Adult,14
2763,61,Female,Coat,Outerwear,57,Idaho,XL,Black,Summer,4.0,No,Express,Yes,3,Credit Card,Monthly,Senior,30
804,48,Male,Pants,Clothing,97,Florida,S,Teal,Fall,5.0,No,Express,Yes,24,Credit Card,Weekly,Middle Aged,7
620,27,Male,Jeans,Clothing,41,New Hampshire,L,Maroon,Winter,4.0,Yes,Standard,Yes,37,Apple Pay,Monthly,Young Adult,30
3137,51,Male,Coat,Outerwear,83,Texas,XL,Indigo,Winter,4.0,No,2-Day Shipping,Yes,30,Debit Card,Bi-Weekly,Middle Aged,14
1125,38,Male,Shorts,Clothing,37,Washington,XL,Indigo,Winter,4.0,No,Store Pickup,Yes,37,Credit Card,Weekly,Adult,7
208,60,Female,Jacket,Outerwear,98,Maryland,XL,Turquoise,Summer,4.0,No,2-Day Shipping,Yes,40,Credit Card,Monthly,Senior,30
581,24,Female,Dress,Clothing,87,Iowa,S,Green,Winter,4.0,No,2-Day Shipping,Yes,12,PayPal,Monthly,Young Adult,30
